ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789775942.3,0,0,103.4,60496,65536
1789775942.3,1,0,97.5,60497,65536
1789775942.3,2,0,95.4,60490,65536
1789775942.3,3,0,92.4,60490,65536
1789775945.0,0,0,95.8,60496,65536
1789775945.0,1,0,90.7,60497,65536
1789775945.0,2,0,92.1,60490,65536
1789775945.0,3,0,98.7,60490,65536
1789775947.8,0,0,94.6,60496,65536
1789775947.8,1,0,90.8,60497,65536
1789775947.8,2,0,92.2,60491,65536
1789775947.8,3,0,91.0,60490,65536
1789775950.5,0,0,94.5,60496,65536
1789775950.5,1,0,90.8,60498,65536
1789775950.5,2,0,92.0,60490,65536
1789775950.5,3,0,90.8,60490,65536
1789775953.3,0,0,94.5,60497,65536
1789775953.3,1,0,90.6,60497,65536
1789775953.3,2,0,92.0,60490,65536
1789775953.3,3,0,90.8,60490,65536
1789775956.0,0,0,94.5,60496,65536
1789775956.0,1,0,90.5,60498,65536
1789775956.0,2,0,92.1,60490,65536
1789775956.0,3,0,90.8,60490,65536
1789775958.7,0,0,94.5,60496,65536
1789775958.7,1,0,90.6,60498,65536
1789775958.7,2,0,92.0,60491,65536
1789775958.7,3,0,90.7,60490,65536
1789775961.5,0,0,94.3,60496,65536
1789775961.5,1,0,90.6,60497,65536
1789775961.5,2,0,92.1,60490,65536
1789775961.5,3,0,90.9,60490,65536
1789775964.2,0,0,94.8,60496,65536
1789775964.2,1,0,90.6,60497,65536
1789775964.2,2,0,92.1,60490,65536
1789775964.2,3,0,92.1,60491,65536
1789775967.0,0,74,186.9,60504,65536
1789775967.0,1,74,190.4,60505,65536
1789775967.0,2,74,195.5,60498,65536
1789775967.0,3,74,194.8,60498,65536
1789775969.7,0,74,196.0,60504,65536
1789775969.7,1,72,200.5,60505,65536
1789775969.7,2,74,200.2,60499,65536
1789775969.7,3,73,199.5,60499,65536
1789775972.5,0,72,198.4,60505,65536
1789775972.5,1,72,198.0,60505,65536
1789775972.5,2,73,195.1,60498,65536
1789775972.5,3,72,195.1,60498,65536
1789775975.3,0,74,192.3,60505,65536
1789775975.3,1,72,191.6,60505,65536
1789775975.3,2,75,194.8,60498,65536
1789775975.3,3,73,195.7,60498,65536
1789775978.0,0,75,202.9,60505,65536
1789775978.0,1,74,198.6,60505,65536
1789775978.0,2,75,196.6,60499,65536
1789775978.0,3,69,193.1,60498,65536
1789775980.7,0,75,201.8,60505,65536
1789775980.7,1,74,198.4,60504,65536
1789775980.7,2,74,200.1,60498,65536
1789775980.7,3,74,199.1,60498,65536
1789775983.5,0,74,199.3,60504,65536
1789775983.5,1,73,198.7,60504,65536
1789775983.5,2,75,198.6,60498,65536
1789775983.5,3,73,195.6,60498,65536
1789775986.2,0,73,200.8,60504,65536
1789775986.2,1,59,177.7,60504,65536
1789775986.2,2,66,190.3,60498,65536
1789775986.2,3,75,190.7,60498,65536
1789775989.0,0,74,190.7,60504,65536
1789775989.0,1,73,195.6,60505,65536
1789775989.0,2,74,200.8,60499,65536
1789775989.0,3,74,197.4,60499,65536
1789775991.7,0,74,197.7,60504,65536
1789775991.7,1,73,197.7,60505,65536
1789775991.7,2,74,199.7,60499,65536
1789775991.7,3,73,197.2,60499,65536
1789775994.5,0,73,202.1,60505,65536
1789775994.5,1,73,201.0,60505,65536
1789775994.5,2,74,198.6,60498,65536
1789775994.5,3,73,197.8,60499,65536
1789775997.2,0,75,202.3,60505,65536
1789775997.2,1,74,198.8,60505,65536
1789775997.2,2,75,198.9,60498,65536
1789775997.2,3,75,197.2,60498,65536
1789776000.0,0,74,201.4,60505,65536
1789776000.0,1,74,201.5,60505,65536
1789776000.0,2,75,200.3,60499,65536
1789776000.0,3,74,199.1,60498,65536
1789776002.8,0,73,201.1,60505,65536
1789776002.8,1,73,200.3,60505,65536
1789776002.8,2,75,200.7,60498,65536
1789776002.8,3,75,197.9,60499,65536
1789776005.5,0,74,201.9,60505,65536
1789776005.5,1,74,198.0,60505,65536
1789776005.5,2,74,201.5,60499,65536
1789776005.5,3,74,195.6,60498,65536
1789776008.3,0,75,204.8,60504,65536
1789776008.3,1,74,195.8,60505,65536
1789776008.3,2,75,199.5,60498,65536
1789776008.3,3,74,198.0,60498,65536
1789776011.1,0,74,203.2,60505,65536
1789776011.1,1,74,197.6,60504,65536
1789776011.1,2,74,201.2,60498,65536
1789776011.1,3,74,195.1,60499,65536
1789776013.8,0,74,205.8,60505,65536
1789776013.8,1,73,201.3,60504,65536
1789776013.8,2,75,201.6,60498,65536
1789776013.8,3,74,194.9,60498,65536
1789776016.6,0,72,200.8,60505,65536
1789776016.6,1,74,200.9,60505,65536
1789776016.6,2,74,198.4,60498,65536
1789776016.6,3,76,193.1,60498,65536
1789776019.3,0,75,196.1,60505,65536
1789776019.3,1,75,202.7,60505,65536
1789776019.3,2,74,201.4,60498,65536
1789776019.3,3,74,197.3,60499,65536
1789776022.0,0,74,202.6,60505,65536
1789776022.0,1,73,199.9,60504,65536
1789776022.0,2,75,199.3,60498,65536
1789776022.0,3,74,199.2,60498,65536
1789776024.8,0,75,201.2,60505,65536
1789776024.8,1,73,198.9,60504,65536
1789776024.8,2,74,200.4,60498,65536
1789776024.8,3,74,196.0,60498,65536
1789776027.5,0,75,200.7,60505,65536
1789776027.5,1,72,200.5,60504,65536
1789776027.5,2,74,199.5,60498,65536
1789776027.5,3,74,200.6,60498,65536
