ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789775086.8,0,0,98.8,60887,65536
1789775086.8,1,0,93.3,60886,65536
1789775086.8,2,0,91.9,3423,65536
1789775086.8,3,0,90.7,3423,65536
1789775089.5,0,0,103.8,60886,65536
1789775089.5,1,0,100.1,60887,65536
1789775089.5,2,0,92.0,3424,65536
1789775089.5,3,0,90.6,3423,65536
1789775092.2,0,0,95.2,60887,65536
1789775092.2,1,0,91.1,60887,65536
1789775092.2,2,0,92.0,3423,65536
1789775092.2,3,0,90.6,3423,65536
1789775095.0,0,0,95.2,60887,65536
1789775095.0,1,0,91.1,60887,65536
1789775095.0,2,0,92.3,3423,65536
1789775095.0,3,0,90.9,3423,65536
1789775097.7,0,0,94.9,60886,65536
1789775097.7,1,0,91.1,60887,65536
1789775097.7,2,0,92.2,3423,65536
1789775097.7,3,0,90.7,3423,65536
1789775100.5,0,0,95.2,60886,65536
1789775100.5,1,0,91.1,60887,65536
1789775100.5,2,0,92.0,3423,65536
1789775100.5,3,0,90.7,3423,65536
1789775103.2,0,0,95.0,60886,65536
1789775103.2,1,0,91.2,60887,65536
1789775103.2,2,0,92.2,3423,65536
1789775103.2,3,0,90.6,3423,65536
1789775105.9,0,0,95.1,60886,65536
1789775105.9,1,0,91.0,60886,65536
1789775105.9,2,0,91.9,3423,65536
1789775105.9,3,0,90.7,3423,65536
1789775108.7,0,0,94.8,60886,65536
1789775108.7,1,0,90.9,60887,65536
1789775108.7,2,0,92.1,3423,65536
1789775108.7,3,0,90.9,3423,65536
1789775111.5,0,0,94.9,60886,65536
1789775111.5,1,0,91.1,60886,65536
1789775111.5,2,0,91.9,3423,65536
1789775111.5,3,0,90.8,3423,65536
1789775114.2,0,79,326.9,60890,65536
1789775114.2,1,80,318.0,60892,65536
1789775114.2,2,0,92.1,3423,65536
1789775114.2,3,0,90.7,3423,65536
1789775116.9,0,80,325.4,60890,65536
1789775116.9,1,82,329.1,60891,65536
1789775116.9,2,0,92.0,3423,65536
1789775116.9,3,0,90.6,3423,65536
1789775119.7,0,81,319.4,60891,65536
1789775119.7,1,83,320.7,60891,65536
1789775119.7,2,0,91.9,3423,65536
1789775119.7,3,0,90.7,3423,65536
1789775122.4,0,100,240.4,60891,65536
1789775122.4,1,100,243.3,60890,65536
1789775122.4,2,0,91.8,3423,65536
1789775122.4,3,0,90.7,3423,65536
1789775125.1,0,100,238.3,60890,65536
1789775125.1,1,100,238.8,60890,65536
1789775125.1,2,0,91.9,3423,65536
1789775125.1,3,0,90.5,3423,65536
1789775127.9,0,82,308.3,60890,65536
1789775127.9,1,80,325.3,60891,65536
1789775127.9,2,0,92.1,3424,65536
1789775127.9,3,0,90.7,3423,65536
1789775130.6,0,76,326.8,60891,65536
1789775130.6,1,76,328.0,60891,65536
1789775130.6,2,0,92.0,3423,65536
1789775130.6,3,0,90.7,3423,65536
1789775133.4,0,77,311.0,60891,65536
1789775133.4,1,77,345.0,60891,65536
1789775133.4,2,0,92.4,3423,65536
1789775133.4,3,0,90.9,3423,65536
1789775136.1,0,77,316.0,60891,65536
1789775136.1,1,76,322.1,60891,65536
1789775136.1,2,0,91.8,3423,65536
1789775136.1,3,0,90.9,3423,65536
1789775138.8,0,77,322.8,60890,65536
1789775138.8,1,78,336.3,60891,65536
1789775138.8,2,0,92.1,3423,65536
1789775138.8,3,0,90.9,3423,65536
1789775141.6,0,79,327.6,60891,65536
1789775141.6,1,77,326.1,60890,65536
1789775141.6,2,0,92.1,3423,65536
1789775141.6,3,0,91.0,3423,65536
1789775144.3,0,79,327.4,60891,65536
1789775144.3,1,81,330.5,60890,65536
1789775144.3,2,0,92.3,3423,65536
1789775144.3,3,0,90.9,3423,65536
1789775147.1,0,80,319.7,60890,65536
1789775147.1,1,81,336.2,60890,65536
1789775147.1,2,0,92.3,3423,65536
1789775147.1,3,0,90.7,3423,65536
1789775149.8,0,79,330.8,60891,65536
1789775149.8,1,81,339.8,60891,65536
1789775149.8,2,0,92.3,3423,65536
1789775149.8,3,0,90.4,3424,65536
1789775152.6,0,82,324.0,60891,65536
1789775152.6,1,82,332.4,60891,65536
1789775152.6,2,0,92.1,3423,65536
1789775152.6,3,0,90.7,3424,65536
1789775155.3,0,82,329.1,60890,65536
1789775155.3,1,81,330.4,60891,65536
1789775155.3,2,0,92.1,3423,65536
1789775155.3,3,0,90.7,3423,65536
1789775158.0,0,100,243.9,60890,65536
1789775158.0,1,100,242.5,60891,65536
1789775158.0,2,0,92.0,3423,65536
1789775158.0,3,0,91.0,3423,65536
1789775160.8,0,100,240.8,60891,65536
1789775160.8,1,100,238.4,60891,65536
1789775160.8,2,0,91.9,3423,65536
1789775160.8,3,0,90.7,3423,65536
