ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789776093.3,0,0,96.2,60589,65536
1789776093.3,1,0,91.7,60588,65536
1789776093.3,2,0,92.9,60582,65536
1789776093.3,3,0,91.7,60582,65536
1789776096.1,0,0,103.7,60589,65536
1789776096.1,1,0,100.3,60588,65536
1789776096.1,2,0,101.4,60582,65536
1789776096.1,3,0,100.0,60582,65536
1789776098.8,0,0,94.7,60588,65536
1789776098.8,1,0,91.0,60589,65536
1789776098.8,2,0,92.6,60583,65536
1789776098.8,3,0,91.3,60582,65536
1789776101.6,0,0,94.7,60589,65536
1789776101.6,1,0,91.0,60589,65536
1789776101.6,2,0,92.5,60582,65536
1789776101.6,3,0,91.3,60582,65536
1789776104.4,0,0,94.7,60588,65536
1789776104.4,1,0,91.0,60589,65536
1789776104.4,2,0,92.5,60583,65536
1789776104.4,3,0,91.3,60582,65536
1789776107.1,0,0,94.9,60588,65536
1789776107.1,1,0,90.9,60589,65536
1789776107.1,2,0,92.3,60583,65536
1789776107.1,3,0,91.3,60583,65536
1789776109.9,0,0,94.6,60588,65536
1789776109.9,1,0,90.8,60589,65536
1789776109.9,2,0,92.2,60582,65536
1789776109.9,3,0,90.9,60583,65536
1789776112.6,0,0,94.7,60588,65536
1789776112.6,1,0,90.8,60589,65536
1789776112.6,2,0,92.3,60582,65536
1789776112.6,3,0,91.1,60582,65536
1789776115.4,0,0,94.8,60588,65536
1789776115.4,1,0,90.8,60589,65536
1789776115.4,2,0,92.3,60582,65536
1789776115.4,3,0,91.2,60582,65536
1789776118.1,0,89,322.5,60794,65536
1789776118.1,1,91,309.6,60795,65536
1789776118.1,2,92,319.7,60788,65536
1789776118.1,3,51,252.4,60788,65536
1789776120.9,0,85,213.6,60795,65536
1789776120.9,1,85,214.1,60795,65536
1789776120.9,2,89,211.7,60788,65536
1789776120.9,3,87,210.3,60788,65536
1789776123.6,0,85,212.0,60795,65536
1789776123.6,1,87,214.9,60795,65536
1789776123.6,2,89,215.5,60788,65536
1789776123.6,3,88,207.3,60788,65536
1789776126.4,0,86,214.6,60795,65536
1789776126.4,1,88,211.2,60795,65536
1789776126.4,2,90,218.5,60788,65536
1789776126.4,3,90,213.1,60788,65536
1789776129.1,0,89,214.4,60795,65536
1789776129.1,1,88,231.1,60795,65536
1789776129.1,2,93,205.3,60789,65536
1789776129.1,3,90,194.5,60789,65536
1789776131.9,0,90,214.8,60795,65536
1789776131.9,1,91,213.1,60794,65536
1789776131.9,2,94,208.8,60788,65536
1789776131.9,3,92,205.2,60788,65536
1789776134.6,0,90,215.8,60795,65536
1789776134.6,1,90,217.0,60794,65536
1789776134.6,2,93,216.8,60788,65536
1789776134.6,3,93,211.4,60788,65536
1789776137.3,0,84,310.2,60795,65536
1789776137.3,1,90,322.2,60794,65536
1789776137.3,2,79,307.5,60788,65536
1789776137.3,3,82,303.9,60788,65536
1789776140.1,0,83,207.6,60795,65536
1789776140.1,1,84,212.3,60795,65536
1789776140.1,2,52,176.6,60788,65536
1789776140.1,3,86,197.5,60789,65536
1789776142.8,0,85,216.0,60795,65536
1789776142.8,1,86,215.8,60794,65536
1789776142.8,2,89,216.4,60788,65536
1789776142.8,3,88,207.5,60788,65536
1789776145.6,0,86,212.4,60795,65536
1789776145.6,1,86,214.6,60795,65536
1789776145.6,2,89,212.0,60788,65536
1789776145.6,3,91,207.9,60789,65536
1789776148.3,0,87,210.7,60795,65536
1789776148.3,1,88,215.7,60795,65536
1789776148.3,2,90,201.8,60788,65536
1789776148.3,3,91,205.2,60789,65536
1789776151.1,0,89,197.7,60795,65536
1789776151.1,1,90,208.8,60795,65536
1789776151.1,2,95,222.3,60788,65536
1789776151.1,3,95,211.0,60788,65536
1789776153.8,0,89,213.2,60795,65536
1789776153.8,1,91,213.7,60795,65536
1789776153.8,2,93,206.7,60788,65536
1789776153.8,3,94,211.7,60788,65536
1789776156.6,0,92,215.7,60794,65536
1789776156.6,1,92,214.0,60795,65536
1789776156.6,2,95,208.8,60788,65536
1789776156.6,3,77,206.7,60788,65536
