ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789775532.1,0,0,97.3,60897,65536
1789775532.1,1,0,92.5,60896,65536
1789775532.1,2,0,92.0,3423,65536
1789775532.1,3,0,90.8,3423,65536
1789775534.9,0,0,104.1,60896,65536
1789775534.9,1,0,100.5,60897,65536
1789775534.9,2,0,92.0,3423,65536
1789775534.9,3,0,90.6,3423,65536
1789775537.6,0,0,95.3,60896,65536
1789775537.6,1,0,91.4,60897,65536
1789775537.6,2,0,92.1,3423,65536
1789775537.6,3,0,90.7,3423,65536
1789775540.3,0,0,95.1,60897,65536
1789775540.3,1,0,91.2,60897,65536
1789775540.3,2,0,92.2,3423,65536
1789775540.3,3,0,90.6,3424,65536
1789775543.1,0,0,95.3,60897,65536
1789775543.1,1,0,91.2,60897,65536
1789775543.1,2,0,91.9,3423,65536
1789775543.1,3,0,90.6,3423,65536
1789775545.8,0,0,94.9,60897,65536
1789775545.8,1,0,91.1,60896,65536
1789775545.8,2,0,92.0,3423,65536
1789775545.8,3,0,90.6,3423,65536
1789775548.6,0,0,95.1,60896,65536
1789775548.6,1,0,91.0,60897,65536
1789775548.6,2,0,91.9,3423,65536
1789775548.6,3,0,90.7,3423,65536
1789775551.3,0,0,95.0,60897,65536
1789775551.3,1,0,91.1,60897,65536
1789775551.3,2,0,92.1,3423,65536
1789775551.3,3,0,90.8,3424,65536
1789775554.1,0,0,95.2,60897,65536
1789775554.1,1,0,91.2,60896,65536
1789775554.1,2,0,92.1,3423,65536
1789775554.1,3,0,90.6,3423,65536
1789775556.8,0,72,311.1,60896,65536
1789775556.8,1,90,271.9,60897,65536
1789775556.8,2,0,92.2,3423,65536
1789775556.8,3,0,90.7,3423,65536
1789775559.6,0,85,233.7,60897,65536
1789775559.6,1,87,231.7,60897,65536
1789775559.6,2,0,92.0,3423,65536
1789775559.6,3,0,90.7,3424,65536
1789775562.3,0,87,229.4,60896,65536
1789775562.3,1,91,236.4,60896,65536
1789775562.3,2,0,92.0,3423,65536
1789775562.3,3,0,90.5,3423,65536
1789775565.1,0,87,233.0,60896,65536
1789775565.1,1,92,234.7,60896,65536
1789775565.1,2,0,91.7,3423,65536
1789775565.1,3,0,90.6,3423,65536
1789775567.8,0,86,234.5,60896,65536
1789775567.8,1,93,230.2,60896,65536
1789775567.8,2,0,92.2,3424,65536
1789775567.8,3,0,90.7,3423,65536
1789775570.5,0,89,236.4,60897,65536
1789775570.5,1,90,234.0,60897,65536
1789775570.5,2,0,92.0,3423,65536
1789775570.5,3,0,90.9,3423,65536
1789775573.2,0,89,235.7,60897,65536
