ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789775386.8,0,0,103.2,60896,65536
1789775386.8,1,0,95.7,60897,65536
1789775386.8,2,0,91.9,3423,65536
1789775386.8,3,0,90.8,3423,65536
1789775389.5,0,0,95.3,60897,65536
1789775389.5,1,0,100.3,60897,65536
1789775389.5,2,0,92.1,3423,65536
1789775389.5,3,0,90.8,3423,65536
1789775392.2,0,0,95.2,60896,65536
1789775392.2,1,0,91.4,60897,65536
1789775392.2,2,0,92.1,3423,65536
1789775392.2,3,0,90.8,3423,65536
1789775395.0,0,0,95.2,60896,65536
1789775395.0,1,0,91.3,60896,65536
1789775395.0,2,0,91.9,3423,65536
1789775395.0,3,0,90.6,3423,65536
1789775397.7,0,0,95.0,60896,65536
1789775397.7,1,0,91.3,60896,65536
1789775397.7,2,0,92.2,3424,65536
1789775397.7,3,0,90.6,3423,65536
1789775400.5,0,0,95.2,60896,65536
1789775400.5,1,0,91.2,60897,65536
1789775400.5,2,0,92.1,3424,65536
1789775400.5,3,0,90.6,3424,65536
1789775403.2,0,0,95.1,60896,65536
1789775403.2,1,0,91.2,60896,65536
1789775403.2,2,0,92.0,3423,65536
1789775403.2,3,0,90.6,3423,65536
1789775405.9,0,0,95.1,60896,65536
1789775405.9,1,0,91.1,60896,65536
1789775405.9,2,0,92.1,3423,65536
1789775405.9,3,0,90.6,3423,65536
1789775408.7,0,0,95.0,60896,65536
1789775408.7,1,0,91.1,60897,65536
1789775408.7,2,0,92.0,3424,65536
1789775408.7,3,0,90.9,3424,65536
1789775411.4,0,80,214.7,60896,65536
1789775411.4,1,81,217.3,60897,65536
1789775411.4,2,0,92.2,3423,65536
1789775411.4,3,0,90.6,3424,65536
1789775414.2,0,79,215.4,60896,65536
1789775414.2,1,81,221.5,60896,65536
1789775414.2,2,0,92.0,3423,65536
1789775414.2,3,0,90.7,3423,65536
1789775416.9,0,80,218.2,60896,65536
1789775416.9,1,80,216.7,60896,65536
1789775416.9,2,0,92.1,3423,65536
1789775416.9,3,0,90.6,3423,65536
1789775419.7,0,81,219.4,60896,65536
1789775419.7,1,81,218.7,60897,65536
1789775419.7,2,0,92.3,3423,65536
1789775419.7,3,0,90.8,3423,65536
1789775422.4,0,80,216.9,60896,65536
1789775422.4,1,80,218.7,60896,65536
1789775422.4,2,0,92.2,3423,65536
1789775422.4,3,0,90.5,3423,65536
1789775425.2,0,81,219.4,60897,65536
1789775425.2,1,82,218.7,60896,65536
1789775425.2,2,0,92.0,3423,65536
1789775425.2,3,0,90.8,3423,65536
1789775427.9,0,80,219.0,60897,65536
1789775427.9,1,81,216.8,60897,65536
1789775427.9,2,0,92.1,3423,65536
1789775427.9,3,0,90.6,3423,65536
1789775430.7,0,81,218.5,60897,65536
1789775430.7,1,82,216.2,60896,65536
1789775430.7,2,0,92.1,3423,65536
1789775430.7,3,0,90.8,3423,65536
1789775433.4,0,81,218.8,60897,65536
1789775433.4,1,82,218.0,60896,65536
1789775433.4,2,0,92.0,3423,65536
1789775433.4,3,0,90.8,3423,65536
1789775436.1,0,82,219.2,60897,65536
1789775436.1,1,82,215.4,60896,65536
1789775436.1,2,0,92.0,3423,65536
1789775436.1,3,0,90.6,3423,65536
1789775438.9,0,83,220.0,60896,65536
1789775438.9,1,83,217.0,60897,65536
1789775438.9,2,0,91.9,3423,65536
1789775438.9,3,0,90.8,3423,65536
1789775441.6,0,83,218.0,60897,65536
1789775441.6,1,83,216.2,60896,65536
1789775441.6,2,0,91.8,3423,65536
1789775441.6,3,0,90.7,3423,65536
1789775444.3,0,84,217.1,60897,65536
1789775444.3,1,85,220.2,60896,65536
1789775444.3,2,0,92.0,3423,65536
1789775444.3,3,0,90.7,3423,65536
1789775447.1,0,83,218.2,60897,65536
1789775447.1,1,85,217.4,60897,65536
1789775447.1,2,0,92.0,3423,65536
1789775447.1,3,0,90.8,3423,65536
1789775449.9,0,70,307.0,60897,65536
1789775449.9,1,70,330.5,60897,65536
1789775449.9,2,0,92.1,3424,65536
1789775449.9,3,0,90.7,3423,65536
1789775452.6,0,79,220.4,60897,65536
1789775452.6,1,80,216.8,60896,65536
1789775452.6,2,0,92.0,3423,65536
1789775452.6,3,0,90.9,3423,65536
1789775455.4,0,79,220.3,60896,65536
1789775455.4,1,80,216.8,60896,65536
1789775455.4,2,0,91.9,3423,65536
1789775455.4,3,0,90.6,3423,65536
1789775458.1,0,80,216.5,60896,65536
1789775458.1,1,82,217.1,60897,65536
1789775458.1,2,0,92.0,3423,65536
1789775458.1,3,0,90.7,3423,65536
1789775460.8,0,80,219.2,60897,65536
1789775460.8,1,81,221.0,60896,65536
1789775460.8,2,0,92.2,3423,65536
1789775460.8,3,0,90.7,3423,65536
1789775463.6,0,80,218.7,60897,65536
1789775463.6,1,80,217.1,60896,65536
1789775463.6,2,0,91.9,3423,65536
1789775463.6,3,0,90.5,3423,65536
1789775466.4,0,80,218.1,60897,65536
1789775466.4,1,81,215.7,60896,65536
1789775466.4,2,0,91.9,3423,65536
1789775466.4,3,0,90.6,3423,65536
1789775469.1,0,80,220.0,60897,65536
1789775469.1,1,80,216.3,60897,65536
1789775469.1,2,0,92.0,3423,65536
1789775469.1,3,0,90.7,3423,65536
1789775471.8,0,80,218.8,60897,65536
1789775471.8,1,81,220.3,60897,65536
1789775471.8,2,0,92.0,3423,65536
1789775471.8,3,0,90.7,3423,65536
1789775474.6,0,82,218.7,60897,65536
1789775474.6,1,82,218.5,60896,65536
1789775474.6,2,0,92.1,3423,65536
1789775474.6,3,0,90.8,3423,65536
1789775477.3,0,82,219.6,60897,65536
1789775477.3,1,84,218.8,60896,65536
1789775477.3,2,0,92.0,3423,65536
1789775477.3,3,0,90.6,3423,65536
1789775480.1,0,83,219.9,60897,65536
1789775480.1,1,84,218.0,60897,65536
1789775480.1,2,0,91.9,3423,65536
1789775480.1,3,0,90.3,3423,65536
1789775482.8,0,82,216.6,60897,65536
1789775482.8,1,83,219.4,60896,65536
1789775482.8,2,0,91.9,3423,65536
1789775482.8,3,0,90.6,3423,65536
1789775485.6,0,84,216.5,60897,65536
1789775485.6,1,84,217.7,60896,65536
1789775485.6,2,0,91.9,3423,65536
1789775485.6,3,0,90.9,3423,65536
1789775488.3,0,84,218.6,60896,65536
1789775488.3,1,85,218.3,60897,65536
1789775488.3,2,0,91.9,3423,65536
1789775488.3,3,0,90.6,3423,65536
1789775491.0,0,68,328.4,60897,65536
1789775491.0,1,71,315.5,60897,65536
1789775491.0,2,0,92.0,3423,65536
1789775491.0,3,0,90.9,3424,65536
1789775493.7,0,79,216.1,60897,65536
1789775493.7,1,80,217.3,60897,65536
1789775493.7,2,0,92.0,3423,65536
1789775493.7,3,0,90.7,3423,65536
1789775496.5,0,80,217.9,60897,65536
1789775496.5,1,80,216.7,60897,65536
1789775496.5,2,0,91.8,3423,65536
1789775496.5,3,0,90.6,3423,65536
1789775499.2,0,80,217.7,60897,65536
1789775499.2,1,81,216.4,60897,65536
1789775499.2,2,0,91.8,3423,65536
1789775499.2,3,0,90.6,3424,65536
1789775501.9,0,79,217.6,60897,65536
1789775501.9,1,80,215.6,60896,65536
1789775501.9,2,0,92.1,3423,65536
1789775501.9,3,0,90.7,3423,65536
1789775504.7,0,80,217.7,60897,65536
1789775504.7,1,81,219.9,60896,65536
1789775504.7,2,0,92.0,3423,65536
1789775504.7,3,0,90.7,3423,65536
1789775507.4,0,80,220.4,60897,65536
1789775507.4,1,82,217.6,60896,65536
1789775507.4,2,0,92.0,3423,65536
1789775507.4,3,0,90.6,3423,65536
1789775510.1,0,81,217.7,60897,65536
1789775510.1,1,80,219.8,60897,65536
1789775510.1,2,0,92.0,3423,65536
1789775510.1,3,0,90.8,3424,65536
1789775512.9,0,81,218.1,60897,65536
1789775512.9,1,83,217.4,60897,65536
1789775512.9,2,0,92.0,3423,65536
1789775512.9,3,0,90.9,3423,65536
1789775515.6,0,81,219.5,60897,65536
1789775515.6,1,83,221.1,60897,65536
1789775515.6,2,0,92.0,3423,65536
1789775515.6,3,0,90.6,3423,65536
1789775518.3,0,81,218.3,60897,65536
1789775518.3,1,82,215.6,60898,65536
1789775518.3,2,0,92.1,3423,65536
1789775518.3,3,0,90.8,3423,65536
1789775521.1,0,82,218.5,60897,65536
1789775521.1,1,84,216.5,60897,65536
1789775521.1,2,0,92.0,3423,65536
1789775521.1,3,0,90.9,3423,65536
1789775523.8,0,83,218.0,60897,65536
1789775523.8,1,81,219.7,60896,65536
1789775523.8,2,0,92.2,3423,65536
1789775523.8,3,0,90.6,3423,65536
1789775526.5,0,84,220.1,60897,65536
1789775526.5,1,84,216.4,60896,65536
1789775526.5,2,0,92.0,3423,65536
1789775526.5,3,0,90.6,3423,65536
1789775529.2,0,84,218.6,60897,65536
1789775529.2,1,84,222.1,60897,65536
1789775529.2,2,0,92.0,3423,65536
1789775529.2,3,0,90.5,3423,65536
