ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789772875.5,0,0,95.9,60415,65536
1789772875.5,1,0,91.7,60415,65536
1789772875.5,2,0,92.0,3415,65536
1789772875.5,3,0,90.7,3413,65536
1789772878.3,0,0,102.3,60414,65536
1789772878.3,1,0,95.4,60416,65536
1789772878.3,2,0,91.9,3416,65536
1789772878.3,3,0,90.7,3413,65536
1789772881.0,0,0,94.7,60414,65536
1789772881.0,1,0,90.8,60415,65536
1789772881.0,2,0,92.0,3416,65536
1789772881.0,3,0,90.7,3413,65536
1789772883.8,0,0,94.7,60414,65536
1789772883.8,1,0,90.7,60415,65536
1789772883.8,2,0,91.8,3415,65536
1789772883.8,3,0,90.5,3413,65536
1789772886.5,0,0,94.6,60414,65536
1789772886.5,1,0,90.7,60415,65536
1789772886.5,2,0,92.0,3416,65536
1789772886.5,3,0,90.6,3413,65536
1789772889.3,0,0,94.5,60415,65536
1789772889.3,1,0,90.5,60416,65536
1789772889.3,2,0,91.9,3416,65536
1789772889.3,3,0,90.5,3414,65536
1789772892.0,0,0,94.5,60414,65536
1789772892.0,1,0,90.7,60415,65536
1789772892.0,2,0,91.9,3416,65536
1789772892.0,3,0,90.5,3413,65536
1789772894.8,0,0,94.4,60414,65536
1789772894.8,1,0,90.7,60415,65536
1789772894.8,2,0,91.9,3415,65536
1789772894.8,3,0,90.5,3413,65536
1789772897.5,0,0,94.6,60414,65536
1789772897.5,1,0,90.5,60415,65536
1789772897.5,2,0,92.1,3415,65536
1789772897.5,3,0,90.6,3413,65536
1789772900.3,0,94,201.4,60635,65536
1789772900.3,1,90,195.3,60635,65536
1789772900.3,2,0,92.1,3416,65536
1789772900.3,3,0,90.6,3414,65536
1789772903.0,0,98,205.1,60635,65536
1789772903.0,1,88,184.6,60635,65536
1789772903.0,2,0,92.2,3416,65536
1789772903.0,3,0,90.7,3414,65536
1789772905.8,0,99,199.8,60635,65536
1789772905.8,1,94,199.8,60635,65536
1789772905.8,2,0,91.9,3416,65536
1789772905.8,3,0,90.7,3414,65536
1789772908.5,0,100,199.7,60634,65536
1789772908.5,1,99,191.8,60635,65536
1789772908.5,2,0,91.9,3416,65536
1789772908.5,3,0,90.8,3414,65536
1789772911.2,0,100,187.2,60634,65536
1789772911.2,1,100,200.9,60635,65536
1789772911.2,2,0,92.1,3415,65536
1789772911.2,3,0,90.7,3414,65536
1789772914.0,0,94,194.5,60636,65536
1789772914.0,1,91,198.3,60637,65536
1789772914.0,2,0,92.0,3415,65536
1789772914.0,3,0,90.6,3414,65536
1789772916.7,0,96,192.8,60636,65536
1789772916.7,1,95,208.2,60637,65536
1789772916.7,2,0,91.8,3415,65536
1789772916.7,3,0,90.7,3413,65536
1789772919.5,0,100,205.3,60637,65536
1789772919.5,1,95,190.2,60637,65536
1789772919.5,2,0,91.9,3416,65536
1789772919.5,3,0,90.5,3414,65536
1789772922.2,0,100,198.0,60637,65536
1789772922.2,1,100,193.8,60637,65536
1789772922.2,2,0,92.0,3416,65536
1789772922.2,3,0,90.8,3413,65536
1789772924.9,0,12,157.8,60637,65536
1789772924.9,1,0,121.8,60637,65536
1789772924.9,2,0,91.9,3416,65536
1789772924.9,3,0,90.7,3413,65536
