ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789772473.7,0,0,96.3,60657,65536
1789772473.7,1,0,90.7,3421,65536
1789772473.7,2,0,92.1,3416,65536
1789772473.7,3,0,90.7,3413,65536
1789772476.4,0,0,95.0,60657,65536
1789772476.4,1,0,90.7,3421,65536
1789772476.4,2,0,92.2,3416,65536
1789772476.4,3,0,90.7,3413,65536
1789772479.1,0,0,95.2,60658,65536
1789772479.1,1,0,90.4,3422,65536
1789772479.1,2,0,92.0,3416,65536
1789772479.1,3,0,90.5,3414,65536
1789772481.9,0,0,95.0,60657,65536
1789772481.9,1,0,90.3,3421,65536
1789772481.9,2,0,92.1,3416,65536
1789772481.9,3,0,90.7,3413,65536
1789772484.7,0,0,94.9,60657,65536
1789772484.7,1,0,90.6,3421,65536
1789772484.7,2,0,92.0,3415,65536
1789772484.7,3,0,90.7,3414,65536
1789772487.4,0,0,95.0,60657,65536
1789772487.4,1,0,90.6,3422,65536
1789772487.4,2,0,91.9,3415,65536
1789772487.4,3,0,90.6,3414,65536
1789772490.1,0,0,94.9,60657,65536
1789772490.1,1,0,90.4,3422,65536
1789772490.1,2,0,92.0,3416,65536
1789772490.1,3,0,90.6,3414,65536
1789772492.8,0,0,94.9,60657,65536
1789772492.8,1,0,90.5,3422,65536
1789772492.8,2,0,92.0,3416,65536
1789772492.8,3,0,90.6,3414,65536
1789772495.6,0,0,94.8,60657,65536
1789772495.6,1,0,90.2,3421,65536
1789772495.6,2,0,91.8,3416,65536
1789772495.6,3,0,90.8,3413,65536
1789772498.3,0,100,231.8,60657,65536
1789772498.3,1,0,91.3,3422,65536
1789772498.3,2,0,92.1,3416,65536
1789772498.3,3,0,90.9,3413,65536
1789772501.1,0,100,217.3,60658,65536
1789772501.1,1,0,90.7,3421,65536
1789772501.1,2,0,92.0,3415,65536
1789772501.1,3,0,90.5,3414,65536
1789772503.8,0,100,232.8,60658,65536
1789772503.8,1,0,91.4,3421,65536
1789772503.8,2,0,92.0,3415,65536
1789772503.8,3,0,90.5,3414,65536
1789772506.5,0,100,251.4,60657,65536
1789772506.5,1,0,90.6,3422,65536
1789772506.5,2,0,92.0,3415,65536
1789772506.5,3,0,90.6,3413,65536
1789772509.3,0,100,243.4,60658,65536
1789772509.3,1,0,91.4,3421,65536
1789772509.3,2,0,91.9,3416,65536
1789772509.3,3,0,90.8,3414,65536
1789772512.0,0,100,243.2,60658,65536
1789772512.0,1,0,90.9,3421,65536
1789772512.0,2,0,92.0,3416,65536
1789772512.0,3,0,90.7,3413,65536
1789772514.8,0,100,242.0,60657,65536
1789772514.8,1,0,90.8,3421,65536
1789772514.8,2,0,92.0,3416,65536
1789772514.8,3,0,90.7,3413,65536
1789772517.5,0,100,242.8,60657,65536
1789772517.5,1,0,90.9,3421,65536
1789772517.5,2,0,91.9,3416,65536
1789772517.5,3,0,90.8,3413,65536
1789772520.2,0,100,241.9,60657,65536
1789772520.2,1,0,91.3,3422,65536
1789772520.2,2,0,91.9,3416,65536
1789772520.2,3,0,90.7,3413,65536
1789772523.0,0,100,243.4,60657,65536
1789772523.0,1,0,90.6,3422,65536
1789772523.0,2,0,92.3,3415,65536
1789772523.0,3,0,90.8,3413,65536
1789772525.7,0,100,246.6,60658,65536
1789772525.7,1,0,91.1,3422,65536
1789772525.7,2,0,92.3,3416,65536
1789772525.7,3,0,90.6,3413,65536
1789772528.5,0,100,230.1,60659,65536
1789772528.5,1,0,91.1,3422,65536
1789772528.5,2,0,92.1,3416,65536
1789772528.5,3,0,90.3,3413,65536
1789772531.2,0,100,235.8,60659,65536
1789772531.2,1,0,91.8,3421,65536
1789772531.2,2,0,92.1,3416,65536
1789772531.2,3,0,90.8,3413,65536
1789772534.0,0,100,245.6,60659,65536
1789772534.0,1,0,91.3,3421,65536
1789772534.0,2,0,92.0,3416,65536
1789772534.0,3,0,90.8,3414,65536
1789772536.7,0,100,240.1,60659,65536
1789772536.7,1,0,91.7,3421,65536
1789772536.7,2,0,92.0,3416,65536
1789772536.7,3,0,90.8,3414,65536
1789772539.4,0,100,241.6,60660,65536
1789772539.4,1,0,91.2,3422,65536
1789772539.4,2,0,91.9,3416,65536
1789772539.4,3,0,90.7,3414,65536
1789772542.1,0,100,240.6,60660,65536
1789772542.1,1,0,90.7,3421,65536
1789772542.1,2,0,91.9,3416,65536
1789772542.1,3,0,90.7,3413,65536
1789772544.9,0,100,251.4,60659,65536
1789772544.9,1,0,91.9,3421,65536
1789772544.9,2,0,92.1,3415,65536
1789772544.9,3,0,90.6,3413,65536
1789772547.6,0,100,242.6,60659,65536
1789772547.6,1,0,90.8,3421,65536
1789772547.6,2,0,91.9,3415,65536
1789772547.6,3,0,90.6,3413,65536
1789772550.4,0,100,249.0,60660,65536
1789772550.4,1,0,91.3,3422,65536
1789772550.4,2,0,92.0,3416,65536
1789772550.4,3,0,90.7,3414,65536
1789772553.1,0,100,245.6,60659,65536
1789772553.1,1,0,91.1,3422,65536
1789772553.1,2,0,92.0,3416,65536
1789772553.1,3,0,90.6,3414,65536
1789772555.8,0,100,247.1,60659,65536
1789772555.8,1,0,90.4,3421,65536
1789772555.8,2,0,92.1,3416,65536
1789772555.8,3,0,90.7,3413,65536
