ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789774020.6,0,0,94.9,60495,65536
1789774020.6,1,0,91.0,60519,65536
1789774020.6,2,0,92.4,60489,65536
1789774020.6,3,0,91.2,60491,65536
1789774023.4,0,0,94.6,60495,65536
1789774023.4,1,0,90.8,60519,65536
1789774023.4,2,0,92.2,60489,65536
1789774023.4,3,0,91.1,60491,65536
1789774026.1,0,0,94.4,60495,65536
1789774026.1,1,0,90.8,60519,65536
1789774026.1,2,0,92.3,60489,65536
1789774026.1,3,0,90.8,60490,65536
1789774028.9,0,0,95.0,60496,65536
1789774028.9,1,0,90.6,60519,65536
1789774028.9,2,0,92.3,60489,65536
1789774028.9,3,0,91.0,60491,65536
1789774031.7,0,0,94.6,60496,65536
1789774031.7,1,0,90.9,60519,65536
1789774031.7,2,0,92.1,60489,65536
1789774031.7,3,0,91.2,60491,65536
1789774034.4,0,0,94.5,60495,65536
1789774034.4,1,0,90.7,60519,65536
1789774034.4,2,0,92.2,60489,65536
1789774034.4,3,0,90.7,60491,65536
1789774037.2,0,0,94.5,60495,65536
1789774037.2,1,0,90.7,60519,65536
1789774037.2,2,0,92.1,60489,65536
1789774037.2,3,0,91.0,60490,65536
1789774039.9,0,0,94.5,60496,65536
1789774039.9,1,0,90.5,60519,65536
1789774039.9,2,0,92.3,60489,65536
1789774039.9,3,0,91.0,60491,65536
1789774042.7,0,0,94.6,60495,65536
1789774042.7,1,0,90.6,60519,65536
1789774042.7,2,0,92.0,60489,65536
1789774042.7,3,0,90.8,60491,65536
1789774045.4,0,81,220.0,60495,65536
1789774045.4,1,0,90.8,60519,65536
1789774045.4,2,0,92.0,60489,65536
1789774045.4,3,0,90.8,60491,65536
1789774048.2,0,82,222.2,60495,65536
1789774048.2,1,0,100.5,60520,65536
1789774048.2,2,0,92.1,60489,65536
1789774048.2,3,0,90.8,60491,65536
1789774050.9,0,0,96.5,60495,65536
1789774050.9,1,81,217.5,60519,65536
1789774050.9,2,0,92.1,60489,65536
1789774050.9,3,0,90.8,60491,65536
1789774053.7,0,0,94.6,60495,65536
1789774053.7,1,0,90.8,60519,65536
1789774053.7,2,81,218.1,60489,65536
1789774053.7,3,0,91.6,60491,65536
1789774056.4,0,0,106.1,60495,65536
1789774056.4,1,0,91.3,60519,65536
1789774056.4,2,0,92.3,60489,65536
1789774056.4,3,0,90.8,60491,65536
