ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789772274.2,0,0,104.1,60655,65536
1789772274.2,1,0,90.7,3422,65536
1789772274.2,2,0,92.1,3415,65536
1789772274.2,3,0,90.7,3414,65536
1789772277.0,0,0,95.1,60655,65536
1789772277.0,1,0,90.6,3422,65536
1789772277.0,2,0,92.1,3416,65536
1789772277.0,3,0,90.6,3413,65536
1789772279.7,0,0,94.9,60656,65536
1789772279.7,1,0,90.4,3422,65536
1789772279.7,2,0,92.2,3416,65536
1789772279.7,3,0,90.6,3413,65536
1789772282.4,0,0,94.7,60655,65536
1789772282.4,1,0,90.5,3422,65536
1789772282.4,2,0,92.0,3416,65536
1789772282.4,3,0,90.6,3413,65536
1789772285.2,0,0,94.8,60655,65536
1789772285.2,1,0,90.5,3422,65536
1789772285.2,2,0,92.0,3416,65536
1789772285.2,3,0,90.6,3413,65536
1789772287.9,0,0,94.8,60655,65536
1789772287.9,1,0,90.6,3422,65536
1789772287.9,2,0,91.8,3416,65536
1789772287.9,3,0,90.5,3413,65536
1789772290.7,0,0,94.8,60655,65536
1789772290.7,1,0,90.5,3421,65536
1789772290.7,2,0,91.9,3416,65536
1789772290.7,3,0,90.7,3414,65536
1789772293.4,0,0,94.9,60655,65536
1789772293.4,1,0,90.4,3421,65536
1789772293.4,2,0,92.0,3416,65536
1789772293.4,3,0,90.7,3413,65536
1789772296.2,0,0,94.7,60655,65536
1789772296.2,1,0,90.6,3421,65536
1789772296.2,2,0,92.1,3416,65536
1789772296.2,3,0,90.5,3413,65536
1789772298.9,0,81,218.6,60655,65536
1789772298.9,1,0,91.5,3422,65536
1789772298.9,2,0,91.9,3416,65536
1789772298.9,3,0,90.8,3414,65536
1789772301.6,0,82,227.2,60655,65536
1789772301.6,1,0,92.5,3421,65536
1789772301.6,2,0,91.8,3416,65536
1789772301.6,3,0,90.5,3413,65536
1789772304.4,0,81,224.4,60655,65536
1789772304.4,1,0,90.9,3421,65536
1789772304.4,2,0,92.2,3416,65536
1789772304.4,3,0,90.8,3414,65536
1789772307.1,0,82,223.4,60655,65536
1789772307.1,1,0,90.5,3421,65536
1789772307.1,2,0,91.9,3416,65536
1789772307.1,3,0,90.7,3414,65536
1789772309.9,0,82,218.2,60655,65536
1789772309.9,1,0,91.5,3422,65536
1789772309.9,2,0,92.0,3416,65536
1789772309.9,3,0,91.0,3413,65536
1789772312.6,0,81,220.1,60655,65536
1789772312.6,1,0,90.5,3421,65536
1789772312.6,2,0,91.9,3416,65536
1789772312.6,3,0,90.5,3413,65536
1789772315.4,0,81,219.8,60655,65536
1789772315.4,1,0,92.6,3421,65536
1789772315.4,2,0,91.9,3416,65536
1789772315.4,3,0,90.8,3413,65536
1789772318.1,0,82,221.5,60655,65536
1789772318.1,1,0,91.0,3422,65536
1789772318.1,2,0,91.9,3416,65536
1789772318.1,3,0,90.6,3413,65536
1789772320.9,0,81,220.0,60656,65536
1789772320.9,1,0,91.2,3422,65536
1789772320.9,2,0,91.9,3416,65536
1789772320.9,3,0,90.5,3414,65536
1789772323.6,0,82,224.5,60655,65536
1789772323.6,1,0,90.8,3422,65536
1789772323.6,2,0,92.0,3416,65536
