ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789772192.2,0,0,100.5,60656,65536
1789772192.2,1,0,90.6,3422,65536
1789772192.2,2,0,91.8,3416,65536
1789772192.2,3,0,90.5,3414,65536
1789772195.0,0,0,94.6,60655,65536
1789772195.0,1,0,90.4,3421,65536
1789772195.0,2,0,91.8,3416,65536
1789772195.0,3,0,90.5,3413,65536
1789772197.7,0,0,94.6,60655,65536
1789772197.7,1,0,90.5,3421,65536
1789772197.7,2,0,92.0,3417,65536
1789772197.7,3,0,90.6,3413,65536
1789772200.4,0,0,94.7,60656,65536
1789772200.4,1,0,90.3,3421,65536
1789772200.4,2,0,91.8,3416,65536
1789772200.4,3,0,90.6,3413,65536
1789772203.2,0,0,94.6,60655,65536
1789772203.2,1,0,90.5,3421,65536
1789772203.2,2,0,91.8,3416,65536
1789772203.2,3,0,90.6,3413,65536
1789772206.0,0,0,94.6,60655,65536
1789772206.0,1,0,90.4,3421,65536
1789772206.0,2,0,91.7,3416,65536
1789772206.0,3,0,90.5,3413,65536
1789772208.7,0,0,94.5,60655,65536
1789772208.7,1,0,90.4,3422,65536
1789772208.7,2,0,91.8,3416,65536
1789772208.7,3,0,90.6,3414,65536
1789772211.5,0,0,94.5,60655,65536
1789772211.5,1,0,90.4,3422,65536
1789772211.5,2,0,91.8,3416,65536
1789772211.5,3,0,90.5,3414,65536
1789772214.2,0,0,94.7,60655,65536
1789772214.2,1,0,90.4,3422,65536
1789772214.2,2,0,91.9,3415,65536
1789772214.2,3,0,90.4,3413,65536
1789772217.0,0,100,253.1,60655,65536
1789772217.0,1,0,90.7,3421,65536
1789772217.0,2,0,91.8,3416,65536
1789772217.0,3,0,90.8,3413,65536
1789772219.7,0,100,355.3,60655,65536
1789772219.7,1,0,90.9,3422,65536
1789772219.7,2,0,91.8,3416,65536
1789772219.7,3,0,90.5,3414,65536
1789772222.5,0,100,226.8,60655,65536
1789772222.5,1,0,91.1,3421,65536
1789772222.5,2,0,91.9,3416,65536
1789772222.5,3,0,90.6,3413,65536
1789772225.2,0,100,417.5,60655,65536
1789772225.2,1,0,90.9,3421,65536
1789772225.2,2,0,92.0,3416,65536
1789772225.2,3,0,90.6,3413,65536
1789772227.9,0,100,227.1,60655,65536
1789772227.9,1,0,91.9,3422,65536
1789772227.9,2,0,92.1,3416,65536
1789772227.9,3,0,90.7,3413,65536
