ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789773974.8,0,0,94.8,60396,65536
1789773974.8,1,0,90.9,60435,65536
1789773974.8,2,0,92.4,60447,65536
1789773974.8,3,0,91.1,60426,65536
1789773977.5,0,0,94.7,60395,65536
1789773977.5,1,0,90.8,60435,65536
1789773977.5,2,0,92.3,60447,65536
1789773977.5,3,0,91.1,60426,65536
1789773980.3,0,0,94.7,60395,65536
1789773980.3,1,0,90.5,60435,65536
1789773980.3,2,0,92.1,60447,65536
1789773980.3,3,0,91.0,60427,65536
1789773983.0,0,0,94.8,60395,65536
1789773983.0,1,0,90.7,60435,65536
1789773983.0,2,0,92.4,60447,65536
1789773983.0,3,0,90.9,60427,65536
1789773985.8,0,0,94.6,60395,65536
1789773985.8,1,0,90.6,60435,65536
1789773985.8,2,0,92.1,60447,65536
1789773985.8,3,0,90.8,60427,65536
1789773988.5,0,0,94.7,60395,65536
1789773988.5,1,0,90.7,60436,65536
1789773988.5,2,0,92.1,60447,65536
1789773988.5,3,0,91.0,60427,65536
1789773991.3,0,0,94.6,60395,65536
1789773991.3,1,0,90.5,60435,65536
1789773991.3,2,0,92.1,60447,65536
1789773991.3,3,0,91.0,60427,65536
1789773994.0,0,0,94.5,60395,65536
1789773994.0,1,0,90.6,60435,65536
1789773994.0,2,0,92.1,60446,65536
1789773994.0,3,0,90.7,60427,65536
1789773996.8,0,0,94.6,60395,65536
1789773996.8,1,0,90.6,60435,65536
1789773996.8,2,0,92.2,60446,65536
1789773996.8,3,0,90.9,60426,65536
1789773999.5,0,95,222.8,60496,65536
1789773999.5,1,98,229.1,60499,65536
1789773999.5,2,96,221.2,60489,65536
1789773999.5,3,95,220.5,60491,65536
1789774002.2,0,98,223.9,60495,65536
1789774002.2,1,100,224.4,60499,65536
1789774002.2,2,98,224.3,60489,65536
1789774002.2,3,97,217.7,60491,65536
1789774005.0,0,100,223.5,60495,65536
1789774005.0,1,100,215.9,60499,65536
1789774005.0,2,100,223.3,60489,65536
1789774005.0,3,99,221.0,60491,65536
1789774007.7,0,73,274.1,60495,65536
1789774007.7,1,100,353.6,60499,65536
1789774007.7,2,94,336.8,60489,65536
1789774007.7,3,68,277.6,60491,65536
1789774010.5,0,97,224.0,60495,65536
1789774010.5,1,99,230.5,60520,65536
1789774010.5,2,96,222.8,60489,65536
1789774010.5,3,96,217.7,60491,65536
1789774013.2,0,98,227.2,60495,65536
1789774013.2,1,100,231.6,60520,65536
1789774013.2,2,99,223.9,60489,65536
1789774013.2,3,98,219.1,60491,65536
1789774015.9,0,100,222.7,60495,65536
1789774015.9,1,100,232.7,60519,65536
1789774015.9,2,100,217.4,60488,65536
1789774015.9,3,100,220.9,60490,65536
1789774018.7,0,54,197.6,60495,65536
1789774018.7,1,90,221.0,60519,65536
1789774018.7,2,0,120.2,60489,65536
1789774018.7,3,0,102.9,60490,65536
