ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789772229.4,0,0,97.5,60656,65536
1789772229.4,1,0,90.7,3422,65536
1789772229.4,2,0,92.0,3416,65536
1789772229.4,3,0,90.6,3414,65536
1789772232.1,0,0,94.8,60656,65536
1789772232.1,1,0,90.4,3422,65536
1789772232.1,2,0,92.1,3416,65536
1789772232.1,3,0,90.6,3413,65536
1789772234.9,0,0,94.7,60655,65536
1789772234.9,1,0,90.5,3422,65536
1789772234.9,2,0,91.9,3415,65536
1789772234.9,3,0,90.8,3413,65536
1789772237.6,0,0,94.6,60655,65536
1789772237.6,1,0,90.6,3421,65536
1789772237.6,2,0,91.9,3416,65536
1789772237.6,3,0,90.6,3413,65536
1789772240.4,0,0,94.5,60655,65536
1789772240.4,1,0,90.4,3422,65536
1789772240.4,2,0,92.0,3416,65536
1789772240.4,3,0,90.6,3413,65536
1789772243.1,0,0,94.7,60655,65536
1789772243.1,1,0,90.4,3421,65536
1789772243.1,2,0,92.0,3416,65536
1789772243.1,3,0,90.8,3413,65536
1789772245.8,0,0,94.7,60655,65536
1789772245.8,1,0,90.4,3421,65536
1789772245.8,2,0,91.9,3415,65536
1789772245.8,3,0,90.6,3414,65536
1789772248.6,0,0,94.7,60655,65536
1789772248.6,1,0,90.4,3422,65536
1789772248.6,2,0,92.0,3416,65536
1789772248.6,3,0,90.8,3413,65536
1789772251.3,0,0,94.6,60656,65536
1789772251.3,1,0,90.4,3422,65536
1789772251.3,2,0,92.0,3415,65536
1789772251.3,3,0,90.7,3413,65536
1789772254.0,0,0,94.6,60655,65536
1789772254.0,1,0,90.4,3421,65536
1789772254.0,2,0,91.7,3415,65536
1789772254.0,3,0,90.4,3413,65536
1789772256.8,0,100,399.8,60655,65536
1789772256.8,1,0,92.2,3421,65536
1789772256.8,2,0,91.7,3416,65536
1789772256.8,3,0,90.5,3413,65536
1789772259.5,0,100,243.9,60656,65536
1789772259.5,1,0,91.6,3422,65536
1789772259.5,2,0,91.8,3416,65536
1789772259.5,3,0,90.4,3413,65536
1789772262.3,0,100,291.9,60655,65536
1789772262.3,1,0,91.7,3422,65536
1789772262.3,2,0,91.8,3415,65536
1789772262.3,3,0,90.6,3413,65536
1789772265.1,0,100,417.7,60655,65536
1789772265.1,1,0,92.0,3421,65536
1789772265.1,2,0,91.7,3415,65536
1789772265.1,3,0,90.4,3413,65536
1789772267.8,0,100,392.0,60655,65536
1789772267.8,1,0,93.1,3422,65536
1789772267.8,2,0,92.0,3416,65536
1789772267.8,3,0,90.6,3413,65536
1789772270.5,0,100,246.5,60656,65536
1789772270.5,1,0,92.0,3422,65536
1789772270.5,2,0,92.0,3416,65536
1789772270.5,3,0,90.7,3414,65536
1789772273.3,0,93,219.0,60656,65536
1789772273.3,1,0,91.0,3422,65536
1789772273.3,2,0,91.9,3415,65536
1789772273.3,3,0,90.7,3414,65536
