ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789772156.6,0,0,97.8,60655,65536
1789772156.6,1,0,90.5,3421,65536
1789772156.6,2,0,91.7,3416,65536
1789772156.6,3,0,90.4,3414,65536
1789772159.3,0,0,94.9,60655,65536
1789772159.3,1,0,90.4,3421,65536
1789772159.3,2,0,91.8,3416,65536
1789772159.3,3,0,90.5,3414,65536
1789772162.1,0,0,94.8,60655,65536
1789772162.1,1,0,90.5,3421,65536
1789772162.1,2,0,91.8,3415,65536
1789772162.1,3,0,90.4,3414,65536
1789772164.8,0,0,94.5,60655,65536
1789772164.8,1,0,90.5,3421,65536
1789772164.8,2,0,91.6,3415,65536
1789772164.8,3,0,90.6,3413,65536
1789772167.5,0,0,94.6,60655,65536
1789772167.5,1,0,90.4,3421,65536
1789772167.5,2,0,91.9,3416,65536
1789772167.5,3,0,90.7,3413,65536
1789772170.3,0,0,94.6,60656,65536
1789772170.3,1,0,90.2,3421,65536
1789772170.3,2,0,92.0,3416,65536
1789772170.3,3,0,90.6,3413,65536
1789772173.0,0,0,94.6,60655,65536
1789772173.0,1,0,90.6,3422,65536
1789772173.0,2,0,91.8,3416,65536
1789772173.0,3,0,90.3,3413,65536
1789772175.8,0,0,94.6,60655,65536
1789772175.8,1,0,90.4,3422,65536
1789772175.8,2,0,91.6,3416,65536
1789772175.8,3,0,90.6,3413,65536
1789772178.5,0,0,94.6,60655,65536
1789772178.5,1,0,90.4,3422,65536
1789772178.5,2,0,91.8,3416,65536
1789772178.5,3,0,90.5,3414,65536
1789772181.2,0,81,224.2,60656,65536
1789772181.2,1,0,90.9,3421,65536
1789772181.2,2,0,92.0,3416,65536
1789772181.2,3,0,90.6,3413,65536
1789772184.0,0,82,221.2,60655,65536
1789772184.0,1,0,91.1,3421,65536
1789772184.0,2,0,91.8,3415,65536
1789772184.0,3,0,90.4,3413,65536
1789772186.7,0,83,221.2,60655,65536
1789772186.7,1,0,91.1,3421,65536
1789772186.7,2,0,92.0,3415,65536
1789772186.7,3,0,90.7,3413,65536
1789772189.5,0,81,227.7,60656,65536
1789772189.5,1,0,91.3,3422,65536
1789772189.5,2,0,91.8,3416,65536
1789772189.5,3,0,90.4,3414,65536
