ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789772390.7,0,0,100.4,60656,65536
1789772390.7,1,0,90.8,3421,65536
1789772390.7,2,0,92.1,3416,65536
1789772390.7,3,0,90.6,3413,65536
1789772393.4,0,0,95.0,60655,65536
1789772393.4,1,0,90.5,3421,65536
1789772393.4,2,0,92.1,3416,65536
1789772393.4,3,0,90.6,3413,65536
1789772396.2,0,0,95.1,60655,65536
1789772396.2,1,0,90.7,3421,65536
1789772396.2,2,0,92.1,3416,65536
1789772396.2,3,0,90.7,3413,65536
1789772398.9,0,0,95.0,60655,65536
1789772398.9,1,0,90.6,3422,65536
1789772398.9,2,0,92.0,3416,65536
1789772398.9,3,0,90.6,3414,65536
1789772401.7,0,0,95.1,60656,65536
1789772401.7,1,0,90.5,3422,65536
1789772401.7,2,0,91.9,3415,65536
1789772401.7,3,0,90.6,3413,65536
1789772404.5,0,0,94.9,60655,65536
1789772404.5,1,0,90.5,3422,65536
1789772404.5,2,0,92.1,3416,65536
1789772404.5,3,0,90.5,3413,65536
1789772407.2,0,0,94.8,60655,65536
1789772407.2,1,0,90.7,3421,65536
1789772407.2,2,0,92.2,3416,65536
1789772407.2,3,0,90.5,3413,65536
1789772410.0,0,0,94.8,60655,65536
1789772410.0,1,0,90.5,3421,65536
1789772410.0,2,0,92.0,3416,65536
1789772410.0,3,0,90.7,3414,65536
1789772412.7,0,0,94.9,60655,65536
1789772412.7,1,0,90.5,3421,65536
1789772412.7,2,0,92.1,3416,65536
1789772412.7,3,0,90.6,3413,65536
1789772415.5,0,95,220.7,60655,65536
1789772415.5,1,0,91.0,3421,65536
1789772415.5,2,0,92.0,3416,65536
1789772415.5,3,0,90.7,3413,65536
1789772418.2,0,95,221.9,60655,65536
1789772418.2,1,0,90.9,3422,65536
1789772418.2,2,0,91.8,3416,65536
1789772418.2,3,0,90.6,3413,65536
1789772420.9,0,98,221.6,60656,65536
1789772420.9,1,0,91.2,3422,65536
1789772420.9,2,0,91.8,3416,65536
1789772420.9,3,0,90.6,3414,65536
1789772423.6,0,99,223.4,60655,65536
1789772423.6,1,0,91.3,3422,65536
1789772423.6,2,0,92.1,3415,65536
1789772423.6,3,0,90.8,3413,65536
1789772426.4,0,100,223.6,60655,65536
1789772426.4,1,0,91.0,3422,65536
1789772426.4,2,0,92.2,3416,65536
1789772426.4,3,0,90.8,3413,65536
1789772429.1,0,100,223.7,60655,65536
1789772429.1,1,0,91.6,3421,65536
1789772429.1,2,0,92.1,3416,65536
1789772429.1,3,0,90.8,3414,65536
1789772431.9,0,100,228.6,60656,65536
1789772431.9,1,0,91.6,3421,65536
1789772431.9,2,0,92.1,3416,65536
1789772431.9,3,0,90.6,3414,65536
1789772434.6,0,94,222.2,60657,65536
1789772434.6,1,0,91.4,3421,65536
1789772434.6,2,0,91.9,3415,65536
1789772434.6,3,0,90.9,3413,65536
1789772437.4,0,96,222.8,60657,65536
1789772437.4,1,0,91.2,3421,65536
1789772437.4,2,0,92.2,3415,65536
1789772437.4,3,0,90.7,3413,65536
1789772440.1,0,97,218.6,60657,65536
1789772440.1,1,0,91.1,3422,65536
1789772440.1,2,0,92.1,3416,65536
1789772440.1,3,0,90.5,3413,65536
1789772442.8,0,99,220.7,60657,65536
1789772442.8,1,0,91.5,3421,65536
1789772442.8,2,0,92.1,3416,65536
1789772442.8,3,0,90.8,3413,65536
1789772445.6,0,99,224.6,60657,65536
1789772445.6,1,0,91.9,3421,65536
1789772445.6,2,0,92.2,3416,65536
1789772445.6,3,0,90.7,3413,65536
1789772448.3,0,100,222.6,60657,65536
1789772448.3,1,0,91.8,3422,65536
1789772448.3,2,0,92.0,3416,65536
1789772448.3,3,0,90.5,3413,65536
1789772451.0,0,100,222.6,60658,65536
1789772451.0,1,0,91.5,3421,65536
1789772451.0,2,0,91.9,3416,65536
1789772451.0,3,0,90.7,3413,65536
1789772453.8,0,93,220.8,60657,65536
1789772453.8,1,0,91.1,3421,65536
1789772453.8,2,0,92.0,3416,65536
1789772453.8,3,0,90.5,3413,65536
1789772456.5,0,96,224.5,60657,65536
1789772456.5,1,0,91.0,3421,65536
1789772456.5,2,0,92.1,3416,65536
1789772456.5,3,0,90.6,3413,65536
1789772459.3,0,97,224.3,60657,65536
1789772459.3,1,0,91.0,3422,65536
1789772459.3,2,0,92.1,3416,65536
1789772459.3,3,0,90.6,3414,65536
1789772462.0,0,98,224.2,60657,65536
1789772462.0,1,0,91.1,3422,65536
1789772462.0,2,0,92.2,3416,65536
1789772462.0,3,0,90.7,3414,65536
1789772464.8,0,100,222.9,60657,65536
1789772464.8,1,0,91.1,3421,65536
1789772464.8,2,0,92.1,3416,65536
1789772464.8,3,0,90.7,3413,65536
1789772467.5,0,100,226.4,60657,65536
1789772467.5,1,0,91.2,3421,65536
1789772467.5,2,0,92.1,3416,65536
1789772467.5,3,0,90.7,3413,65536
1789772470.3,0,100,228.8,60657,65536
1789772470.3,1,0,90.6,3422,65536
1789772470.3,2,0,92.1,3416,65536
1789772470.3,3,0,90.6,3413,65536
