ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789773250.7,0,0,97.1,60371,65536
1789773250.7,1,0,92.2,60371,65536
1789773250.7,2,0,93.0,60365,65536
1789773250.7,3,0,91.5,60365,65536
1789773253.4,0,0,94.8,60370,65536
1789773253.4,1,0,90.7,60371,65536
1789773253.4,2,0,94.0,60365,65536
1789773253.4,3,0,91.1,60365,65536
1789773256.2,0,0,94.7,60370,65536
1789773256.2,1,0,90.7,60370,65536
1789773256.2,2,0,92.5,60365,65536
1789773256.2,3,0,91.1,60364,65536
1789773258.9,0,0,94.7,60371,65536
1789773258.9,1,0,90.7,60371,65536
1789773258.9,2,0,92.4,60364,65536
1789773258.9,3,0,91.2,60364,65536
1789773261.7,0,0,95.1,60371,65536
1789773261.7,1,0,90.7,60371,65536
1789773261.7,2,0,92.4,60364,65536
1789773261.7,3,0,91.0,60364,65536
1789773264.4,0,0,94.9,60371,65536
1789773264.4,1,0,90.7,60371,65536
1789773264.4,2,0,92.3,60364,65536
1789773264.4,3,0,91.0,60365,65536
1789773267.1,0,0,94.8,60370,65536
1789773267.1,1,0,90.8,60371,65536
1789773267.1,2,0,92.4,60364,65536
1789773267.1,3,0,90.9,60365,65536
1789773269.9,0,0,94.8,60371,65536
1789773269.9,1,0,90.7,60371,65536
1789773269.9,2,0,92.2,60365,65536
1789773269.9,3,0,91.1,60365,65536
1789773272.6,0,0,94.8,60371,65536
1789773272.6,1,0,90.9,60371,65536
1789773272.6,2,0,92.3,60364,65536
1789773272.6,3,0,90.8,60365,65536
1789773275.4,0,85,174.2,60591,65536
1789773275.4,1,81,177.6,60590,65536
1789773275.4,2,83,176.8,60584,65536
1789773275.4,3,82,175.7,60584,65536
1789773278.1,0,91,178.5,60591,65536
1789773278.1,1,88,178.5,60591,65536
1789773278.1,2,89,179.6,60584,65536
1789773278.1,3,87,175.2,60584,65536
1789773280.8,0,96,179.0,60591,65536
1789773280.8,1,93,179.6,60590,65536
1789773280.8,2,90,180.3,60584,65536
1789773280.8,3,91,171.4,60584,65536
1789773283.6,0,84,235.7,60591,65536
1789773283.6,1,70,227.8,60590,65536
1789773283.6,2,55,217.2,60584,65536
1789773283.6,3,62,195.8,60584,65536
1789773286.3,0,91,180.4,60591,65536
1789773286.3,1,87,174.5,60591,65536
1789773286.3,2,88,181.7,60584,65536
1789773286.3,3,88,176.0,60584,65536
1789773289.1,0,95,178.6,60591,65536
1789773289.1,1,92,175.8,60591,65536
1789773289.1,2,90,177.7,60584,65536
1789773289.1,3,89,172.5,60585,65536
1789773291.8,0,0,105.5,60591,65536
1789773291.8,1,0,100.9,60591,65536
1789773291.8,2,0,101.8,60584,65536
1789773291.8,3,0,99.9,60584,65536
